Year,ID,Team,offRank,defRank,offRating,tempo,fgEff,ftRate,wab,threepg,ftpg,pDiffpg
2008,1211,Gonzaga,30,41,114.5,65.9,54.4565,39.6739,2.1,6.5,16.0,13.25
2008,1231,Indiana,29,44,114.6,66.2,52.3429,41.8964,4.8,6.59375,17.84375,10.4375
2008,1242,Kansas,2,1,120.9,66.8,56.5912,36.3515,9.9,6.787878787878788,15.484848484848484,19.515151515151516
2008,1243,Kansas St,34,40,114.2,69.7,49.5248,37.3687,1.0,6.633333333333334,16.333333333333332,9.8
2008,1246,Kentucky,104,67,107.8,62.4,52.7458,41.1239,-1.1,5.8,15.333333333333334,3.2666666666666666
2008,1257,Louisville,40,4,113.1,65.3,53.1079,36.4992,4.7,7.53125,13.40625,10.59375
2008,1266,Marquette,20,21,115.3,66.6,50.5929,37.5494,3.8,7.15625,15.75,11.59375
2008,1272,Memphis,6,2,118.0,68.1,52.7517,40.3995,8.9,7.9411764705882355,14.205882352941176,19.058823529411764
2008,1274,Miami FL,44,61,112.5,65.8,49.1872,39.119,1.6,6.774193548387097,16.967741935483872,5.774193548387097
2008,1277,Michigan St,17,33,115.8,63.3,52.5291,33.4345,5.1,4.96969696969697,13.666666666666666,9.303030303030303
2008,1280,Mississippi St,92,11,108.2,66.6,52.1592,38.9698,0.6,6.96875,13.9375,8.03125
2008,1290,MS Valley St,323,236,91.9,63.0,43.368,40.2812,-10.0,4.6,14.633333333333333,-4.6
2008,1291,Mt St Mary's,233,106,99.3,66.1,49.7845,38.6853,-9.5,6.0,14.625,2.5625
2008,1314,North Carolina,1,14,122.1,72.5,52.9641,38.0265,11.9,5.529411764705882,19.470588235294116,15.970588235294118
2008,1323,Notre Dame,26,43,114.6,69.5,52.1588,34.0943,4.4,8.451612903225806,15.709677419354838,10.096774193548388
2008,1328,Oklahoma,74,37,109.5,63.1,50.0532,38.7234,2.8,6.333333333333333,14.090909090909092,5.03030303030303
2008,1331,Oral Roberts,153,31,104.7,63.6,49.8557,40.6232,-0.9,6.612903225806452,14.838709677419354,7.387096774193548
2008,1332,Oregon,5,160,118.8,65.8,55.7886,36.689,0.8,8.709677419354838,14.161290322580646,4.387096774193548
2008,1338,Pittsburgh,10,54,116.5,63.9,50.7645,36.1204,5.3,6.142857142857143,13.82857142857143,8.942857142857143
2008,1340,Portland St,87,161,108.6,66.3,54.8673,37.2271,-3.4,9.033333333333333,13.8,5.766666666666667
2008,1345,Purdue,60,16,110.5,66.9,48.9211,37.1053,3.8,7.375,14.65625,7.53125
2008,1360,San Diego,198,59,101.6,63.0,49.1953,35.5687,-3.9,4.848484848484849,12.818181818181818,2.0
2008,1373,Siena,86,107,108.6,67.6,50.9237,36.5581,-3.8,7.0,14.6875,5.75
2008,1375,South Alabama,42,111,112.6,64.8,53.8945,46.0156,-0.3,6.67741935483871,17.70967741935484,9.935483870967742
2008,1386,St Joseph's PA,25,110,115.1,64.0,54.5833,39.7222,-1.2,7.303030303030303,15.424242424242424,6.0606060606060606
2008,1388,St Mary's CA,76,32,109.2,66.4,52.4902,39.3397,1.2,7.866666666666666,15.033333333333333,12.433333333333334
2008,1390,Stanford,36,10,113.6,63.4,49.8257,39.5916,6.7,5.393939393939394,15.575757575757576,10.06060606060606
2008,1396,Temple,41,102,112.8,63.6,54.1279,35.2652,-1.7,7.878787878787879,14.06060606060606,4.03030303030303
2008,1397,Tennessee,15,28,116.2,70.7,52.3712,38.0301,9.2,9.03125,15.3125,11.53125
2008,1400,Texas,3,42,120.6,63.9,51.4646,31.9513,8.4,7.7272727272727275,13.424242424242424,9.93939393939394
2008,1401,Texas A&M,46,17,112.3,61.8,51.9312,41.746,3.1,5.848484848484849,14.787878787878787,9.181818181818182
2008,1417,UCLA,7,5,118.0,64.1,52.1729,37.2697,10.8,5.303030303030303,15.636363636363637,14.393939393939394
2008,1420,UMBC,39,282,113.2,63.7,51.3956,33.4407,-3.0,7.32258064516129,14.387096774193548,5.354838709677419
2008,1424,UNLV,67,51,110.2,63.9,48.4683,33.0218,2.2,7.5625,13.8125,7.3125
2008,1425,USC,59,13,110.5,65.2,53.3333,38.655,3.6,5.5625,13.5625,5.875
2008,1426,UT Arlington,202,170,101.3,68.6,52.3087,41.3662,-7.0,5.928571428571429,15.285714285714286,2.5357142857142856
2008,1435,Vanderbilt,47,88,112.3,68.2,54.1103,38.3459,3.8,9.06060606060606,16.78787878787879,6.212121212121212
2008,1437,Villanova,75,35,109.2,68.1,49.1307,38.8972,0.3,7.0625,16.09375,3.53125
2008,1450,Washington St,23,9,115.1,58.3,53.6671,38.475,4.9,6.375,14.1875,10.0
2008,1452,West Virginia,27,23,114.6,63.8,51.3796,36.5842,2.6,7.2727272727272725,14.636363636363637,11.424242424242424
2008,1457,Winthrop,232,20,99.5,61.6,49.5909,35.6517,-4.2,6.354838709677419,11.612903225806452,6.290322580645161
2008,1458,Wisconsin,37,3,113.5,61.1,50.6146,39.9252,8.3,5.818181818181818,14.545454545454545,13.575757575757576
2008,1462,Xavier,8,39,117.3,63.8,54.5869,42.372,4.7,7.757575757575758,16.666666666666668,13.0
2009,1103,Akron,163,51,102.9,64.8,48.1073,36.225,-5.4,7.117647058823529,14.117647058823529,5.911764705882353
2009,1110,American Univ,123,125,105.3,60.7,53.6888,31.8661,-2.3,7.096774193548387,10.64516129032258,6.032258064516129
2009,1112,Arizona,6,147,117.7,64.9,53.0407,37.4934,0.8,6.1875,14.6875,3.75
2009,1113,Arizona St,5,42,118.2,59.1,56.4028,38.7078,4.8,8.090909090909092,13.878787878787879,9.484848484848484
2009,1127,Binghamton,181,178,102.3,67.2,49.3552,40.7972,-4.5,6.033333333333333,15.8,2.966666666666667
2009,1130,Boston College,33,150,113.2,65.3,49.675,36.65,0.5,6.393939393939394,16.0,4.484848484848484
2009,1139,Butler,62,38,110.3,62.8,51.6505,43.4952,2.4,7.933333333333334,15.533333333333333,8.8
2009,1140,BYU,28,35,114.0,69.0,54.8431,35.2229,2.3,7.290322580645161,14.612903225806452,12.451612903225806
2009,1143,California,11,96,116.8,66.0,53.9502,34.2533,3.2,6.34375,14.5,6.6875
2009,1151,Chattanooga,142,283,104.3,69.5,50.4285,46.2775,-9.4,8.125,17.375,-1.46875
2009,1155,Clemson,16,61,116.4,67.9,52.7651,31.5068,2.7,8.096774193548388,13.387096774193548,10.741935483870968
2009,1156,Cleveland St,124,29,105.3,63.7,46.9272,36.7116,-1.4,4.75,14.15625,5.125
2009,1163,Connecticut,17,3,116.0,67.1,51.3083,46.432,8.7,4.741935483870968,17.806451612903224,13.35483870967742
2009,1165,Cornell,85,179,108.5,65.4,53.547,32.4207,-4.8,7.482758620689655,13.379310344827585,8.241379310344827
2009,1169,CS Northridge,182,64,102.2,71.8,51.6101,34.3876,-6.7,7.0344827586206895,13.758620689655173,3.586206896551724
2009,1173,Dayton,156,25,103.3,64.5,46.9574,38.1339,1.1,5.515151515151516,14.121212121212121,6.0
2009,1181,Duke,7,28,117.5,66.3,50.4799,41.3163,7.8,7.235294117647059,17.61764705882353,12.411764705882353
2009,1190,ETSU,108,126,106.4,69.6,50.6559,39.5056,-5.9,5.9375,16.90625,7.9375
2009,1199,Florida St,116,7,105.9,65.9,49.2047,39.1835,5.0,6.235294117647059,15.323529411764707,3.6176470588235294
2009,1211,Gonzaga,8,24,117.5,67.1,55.1643,35.4721,4.4,7.4,14.333333333333334,17.233333333333334
2009,1228,Illinois,104,4,106.8,62.8,51.0992,22.4665,3.8,5.545454545454546,8.878787878787879,8.0
2009,1242,Kansas,23,11,114.5,67.2,53.3855,39.5149,5.4,6.46875,16.53125,11.3125
2009,1257,Louisville,49,2,111.2,66.9,52.6953,31.3842,8.0,8.06060606060606,12.303030303030303,12.333333333333334
2009,1261,LSU,47,60,111.5,66.1,49.8567,35.3559,2.4,6.0,15.515151515151516,9.424242424242424
2009,1266,Marquette,9,52,117.1,67.5,51.1864,45.3782,3.4,7.0606060606060606,18.818181818181817,9.393939393939394
2009,1268,Maryland,67,56,110.0,66.3,47.017,28.0404,0.1,5.757575757575758,13.212121212121213,3.0
2009,1272,Memphis,37,1,112.8,65.9,50.0919,39.8897,6.9,5.823529411764706,16.235294117647058,17.176470588235293
2009,1276,Michigan,40,67,112.2,62.5,50.2695,28.4097,0.9,8.65625,11.8125,3.53125
2009,1277,Michigan St,26,6,114.3,66.5,49.7658,41.0304,7.4,5.15625,16.0,9.0
2009,1278,Minnesota,90,21,108.1,64.5,49.5601,34.5454,1.8,5.741935483870968,13.193548387096774,4.709677419354839
2009,1280,Mississippi St,92,54,107.8,67.2,49.975,41.0911,-1.7,8.235294117647058,16.61764705882353,5.0
2009,1281,Missouri,13,17,116.6,70.9,52.7965,36.6274,6.1,7.0588235294117645,15.235294117647058,14.647058823529411
2009,1287,Morehead St,189,137,102.0,65.3,47.8061,42.3077,-9.3,5.09375,16.8125,0.65625
2009,1288,Morgan St,222,91,100.1,65.5,46.416,33.1651,-5.8,5.121212121212121,12.727272727272727,5.363636363636363
2009,1295,N Dakota St,25,152,114.3,67.5,54.2293,37.34,-0.8,7.033333333333333,16.233333333333334,10.133333333333333
2009,1314,North Carolina,1,18,123.2,72.9,52.8395,39.7531,7.7,6.806451612903226,19.870967741935484,16.516129032258064
2009,1320,Northern Iowa,59,131,110.6,60.8,51.5786,41.8943,-1.7,6.363636363636363,16.12121212121212,4.151515151515151
2009,1326,Ohio St,32,63,113.3,62.5,54.759,38.2571,3.2,6.53125,13.03125,5.0625
2009,1328,Oklahoma,4,33,118.3,66.6,55.1776,46.4732,7.4,6.90625,17.78125,11.375
2009,1329,Oklahoma St,15,73,116.4,69.3,53.9825,39.4366,2.7,9.333333333333334,17.727272727272727,6.909090909090909
2009,1338,Pittsburgh,2,19,121.2,65.2,52.9426,33.0327,8.6,6.193548387096774,13.0,13.548387096774194
2009,1340,Portland St,77,219,109.2,64.8,53.5403,29.8317,-3.9,9.67741935483871,11.774193548387096,5.354838709677419
2009,1345,Purdue,60,5,110.5,65.9,50.0,33.1724,3.9,6.705882352941177,13.0,10.235294117647058
2009,1347,Radford,208,153,101.2,69.2,49.7692,42.7582,-6.6,4.758620689655173,17.0,2.2413793103448274
2009,1352,Robert Morris,187,122,102.0,66.0,53.4158,36.7402,-5.1,6.5,13.941176470588236,5.705882352941177
2009,1372,SF Austin,268,9,97.0,62.4,47.3414,29.0199,-2.5,5.555555555555555,10.88888888888889,6.148148148148148
2009,1373,Siena,63,78,110.3,70.7,50.9504,35.6514,0.1,5.181818181818182,14.666666666666666,7.636363636363637
2009,1393,Syracuse,10,39,117.0,69.7,54.3951,39.2841,5.9,6.852941176470588,15.470588235294118,8.058823529411764
2009,1396,Temple,68,43,109.9,63.5,51.1006,28.6688,-0.5,7.636363636363637,11.212121212121213,5.575757575757576
2009,1397,Tennessee,20,83,115.1,67.7,50.9026,36.6746,1.2,6.606060606060606,15.333333333333334,6.121212121212121
2009,1400,Texas,42,20,112.2,65.4,48.4731,38.6331,2.6,4.606060606060606,15.303030303030303,6.878787878787879
2009,1401,Texas A&M,35,74,113.1,63.9,50.3935,46.543,1.9,6.03125,17.8125,5.375
2009,1417,UCLA,3,44,119.5,65.3,54.8403,31.2215,4.5,7.484848484848484,12.393939393939394,12.727272727272727
2009,1425,USC,65,16,110.0,63.7,50.8139,42.2138,2.5,3.757575757575758,14.787878787878787,4.878787878787879
2009,1428,Utah,56,23,110.8,65.0,54.6324,39.1512,2.7,7.1875,15.78125,7.5
2009,1429,Utah St,12,143,116.7,60.0,55.6876,37.5778,2.4,6.454545454545454,14.818181818181818,10.454545454545455
2009,1433,VCU,64,57,110.1,65.8,52.0234,36.688,-2.3,6.545454545454546,14.181818181818182,8.636363636363637
2009,1437,Villanova,24,10,114.4,68.3,50.7521,41.887,6.0,6.606060606060606,18.0,9.545454545454545
2009,1448,Wake Forest,46,22,111.6,72.8,52.4067,43.483,5.1,4.033333333333333,18.666666666666668,11.066666666666666
2009,1449,Washington,34,14,113.1,72.2,48.8406,44.2995,5.0,4.242424242424242,18.818181818181817,9.333333333333334
2009,1452,West Virginia,19,13,115.1,63.7,48.4753,35.9148,3.9,6.647058823529412,14.676470588235293,10.764705882352942
2009,1458,Wisconsin,31,46,113.3,59.1,49.911,34.5789,0.3,6.483870967741935,12.935483870967742,5.387096774193548
2009,1462,Xavier,53,12,111.0,65.8,52.3564,46.0997,2.8,6.875,16.8125,9.96875
2010,1115,Ark Pine Bluff,303,107,93.1,65.1,44.7413,48.4252,-8.0,4.09375,17.125,-0.28125
2010,1124,Baylor,5,43,119.2,64.5,54.3842,36.0872,5.6,7.032258064516129,15.35483870967742,10.161290322580646
2010,1139,Butler,49,7,111.0,63.0,51.0204,46.8865,4.5,6.75,17.90625,10.0625
2010,1140,BYU,10,37,117.3,71.1,54.8739,38.9428,4.0,8.121212121212121,17.696969696969695,16.939393939393938
2010,1143,California,3,76,119.6,67.1,53.2544,35.355,1.7,6.575757575757576,15.575757575757576,9.575757575757576
2010,1155,Clemson,50,20,110.9,67.6,51.065,34.8243,1.5,6.580645161290323,13.612903225806452,9.451612903225806
2010,1165,Cornell,9,149,117.4,63.9,56.5878,29.1667,1.9,9.793103448275861,11.862068965517242,10.620689655172415
2010,1181,Duke,1,5,121.0,64.7,50.527,37.9005,8.4,7.5588235294117645,17.41176470588235,16.264705882352942
2010,1190,ETSU,199,93,100.9,66.8,47.6623,40.6234,-8.1,5.121212121212121,14.93939393939394,2.6363636363636362
2010,1199,Florida St,145,2,105.0,65.3,50.519,38.5813,2.8,5.806451612903226,13.516129032258064,8.32258064516129
2010,1207,Georgetown,13,42,116.8,65.8,55.7025,37.0248,4.3,6.181818181818182,14.090909090909092,8.121212121212121
2010,1210,Georgia Tech,71,15,109.2,68.2,50.3479,37.7237,1.3,6.0,13.909090909090908,6.424242424242424
2010,1211,Gonzaga,38,63,112.3,67.5,54.0601,49.277,2.5,5.548387096774194,17.967741935483872,9.64516129032258
2010,1222,Houston,42,179,112.0,71.1,48.1157,33.8717,-6.4,8.303030303030303,15.545454545454545,3.727272727272727
2010,1242,Kansas,2,8,120.4,67.2,55.1397,41.2601,11.7,7.264705882352941,17.38235294117647,17.970588235294116
2010,1243,Kansas St,15,12,116.1,69.4,50.6115,50.2352,6.8,6.71875,20.25,10.25
2010,1246,Kentucky,22,6,114.9,68.3,53.0534,43.5564,8.6,5.970588235294118,17.264705882352942,13.970588235294118
2010,1250,Lehigh,134,249,105.6,68.9,51.4039,43.0886,-6.8,6.65625,17.40625,5.09375
2010,1257,Louisville,23,78,114.5,66.3,51.3776,35.7143,-0.1,8.03125,15.1875,6.75
2010,1266,Marquette,21,55,115.1,62.3,52.8042,34.9206,1.8,7.9393939393939394,14.454545454545455,8.757575757575758
2010,1268,Maryland,7,57,118.3,68.7,51.8379,33.8872,3.3,5.866666666666666,15.133333333333333,11.233333333333333
2010,1277,Michigan St,33,27,112.8,65.3,51.6199,36.9439,3.5,4.78125,14.03125,8.9375
2010,1278,Minnesota,41,41,112.0,65.6,53.1042,33.9148,-0.3,7.029411764705882,13.352941176470589,8.882352941176471
2010,1281,Missouri,46,18,111.5,68.8,50.1426,33.9354,1.6,7.6875,15.125,11.75
2010,1285,Montana,116,92,106.5,62.0,54.1992,36.7839,-4.6,6.517241379310345,13.758620689655173,7.275862068965517
2010,1288,Morgan St,135,203,105.5,68.6,47.4319,43.9035,-3.9,5.611111111111111,18.805555555555557,6.5
2010,1307,New Mexico,26,74,113.6,67.4,50.5932,44.9333,4.9,7.96969696969697,17.818181818181817,9.575757575757576
2010,1308,New Mexico St,45,231,111.6,70.3,53.2491,38.0093,-2.3,8.53125,15.65625,0.5
2010,1317,North Texas,164,199,103.4,67.4,50.3674,52.9088,-3.9,5.266666666666667,19.933333333333334,3.566666666666667
2010,1320,Northern Iowa,67,13,109.6,58.9,49.5979,37.0477,3.7,6.59375,13.71875,9.03125
2010,1323,Notre Dame,4,153,119.4,62.4,53.6866,38.0952,0.5,7.5,15.764705882352942,7.147058823529412
2010,1324,Oakland,98,209,107.5,69.5,49.0459,41.1037,-1.1,5.8125,17.09375,3.5
2010,1325,Ohio,103,100,107.3,68.8,49.3717,41.0826,-7.8,7.235294117647059,17.205882352941178,4.882352941176471
2010,1326,Ohio St,8,26,117.5,64.6,56.1061,35.7858,5.7,7.323529411764706,13.264705882352942,13.029411764705882
2010,1329,Oklahoma St,40,54,112.2,66.2,52.4731,36.4516,1.8,8.375,14.875,6.21875
2010,1330,Old Dominion,90,10,107.8,62.6,48.7391,30.3104,0.6,4.617647058823529,11.205882352941176,10.382352941176471
2010,1338,Pittsburgh,47,28,111.4,61.3,49.6413,42.7704,3.6,5.3125,15.65625,6.71875
2010,1345,Purdue,65,4,109.8,66.2,49.1053,38.5992,6.6,5.375,16.09375,10.1875
2010,1350,Richmond,77,35,108.8,62.5,51.1329,32.4408,2.6,7.0588235294117645,12.647058823529411,7.0588235294117645
2010,1352,Robert Morris,216,132,99.9,66.1,48.9026,45.985,-6.5,5.647058823529412,16.205882352941178,2.823529411764706
2010,1358,Sam Houston St,57,172,110.2,69.3,53.695,38.651,-2.5,8.964285714285714,16.357142857142858,7.571428571428571
2010,1361,San Diego St,48,51,111.4,63.1,51.7092,41.0197,1.3,5.354838709677419,13.612903225806452,7.451612903225806
2010,1364,UC Santa Barbara,212,86,100.0,66.3,50.6812,45.436,-4.1,6.857142857142857,16.071428571428573,1.6071428571428572
2010,1373,Siena,69,56,109.4,69.2,49.3164,38.7207,0.9,4.757575757575758,15.727272727272727,10.181818181818182
2010,1388,St Mary's CA,14,85,116.5,66.2,55.2743,32.7004,1.9,8.5,14.233333333333333,12.533333333333333
2010,1393,Syracuse,6,14,118.5,68.7,57.5952,36.8629,7.5,6.71875,14.625,14.59375
2010,1396,Temple,93,3,107.8,60.4,49.0731,27.4459,5.3,5.852941176470588,10.617647058823529,8.794117647058824
2010,1397,Tennessee,75,11,108.9,67.5,50.598,35.6486,3.9,5.878787878787879,14.242424242424242,8.696969696969697
2010,1400,Texas,24,30,113.9,71.5,51.089,40.6858,3.9,5.666666666666667,16.242424242424242,11.545454545454545
2010,1401,Texas A&M,37,17,112.6,64.3,49.5789,48.3998,4.4,6.225806451612903,17.774193548387096,6.483870967741935
2010,1424,UNLV,55,40,110.6,66.3,52.167,30.9197,1.0,6.71875,12.90625,8.78125
2010,1429,Utah St,16,62,116.0,59.8,55.0748,29.594,-0.4,6.878787878787879,12.696969696969697,13.393939393939394
2010,1431,UTEP,95,16,107.7,67.9,52.7674,39.5955,2.1,6.15625,15.4375,11.59375
2010,1435,Vanderbilt,25,64,113.7,68.7,52.6107,48.2974,3.2,6.129032258064516,19.29032258064516,7.645161290322581
2010,1436,Vermont,151,136,104.1,66.1,48.2484,49.4692,-5.1,4.735294117647059,18.647058823529413,6.264705882352941
2010,1437,Villanova,11,59,117.2,71.2,52.2959,43.9286,5.5,7.709677419354839,19.612903225806452,9.67741935483871
2010,1448,Wake Forest,106,29,107.1,68.7,46.977,40.7705,1.0,4.344827586206897,16.20689655172414,4.517241379310345
2010,1449,Washington,44,33,111.7,71.7,49.7061,40.9132,1.2,5.181818181818182,18.848484848484848,9.848484848484848
2010,1452,West Virginia,12,21,117.2,62.6,48.8813,39.6347,8.0,6.9393939393939394,15.484848484848484,9.181818181818182
2010,1457,Winthrop,320,65,90.7,64.0,41.5842,35.3135,-8.7,4.0,13.3,0.6333333333333333
2010,1458,Wisconsin,20,19,115.2,59.2,51.3714,32.4571,3.9,7.645161290322581,12.612903225806452,11.290322580645162
2010,1459,Wofford,147,45,104.6,63.5,49.1484,44.1209,-1.9,5.818181818181818,16.12121212121212,7.151515151515151
2010,1462,Xavier,18,47,115.5,68.9,52.1614,41.9308,2.8,6.96875,17.875,10.96875
2011,1103,Akron,163,94,103.7,65.9,49.6512,31.1908,-5.6,7.882352941176471,12.911764705882353,3.6470588235294117
2011,1112,Arizona,12,67,117.4,65.3,54.1182,43.5562,4.7,7.9411764705882355,17.764705882352942,9.058823529411764
2011,1114,Ark Little Rock,215,229,101.1,64.1,47.7876,42.5332,-11.1,6.696969696969697,15.636363636363637,-1.2727272727272727
2011,1125,Belmont,40,28,112.6,68.4,54.13,38.172,1.0,9.441176470588236,16.441176470588236,18.41176470588235
2011,1131,Boston Univ,169,186,103.4,62.6,47.2654,37.2654,-7.6,7.529411764705882,14.676470588235293,1.9705882352941178
2011,1137,Bucknell,116,88,105.8,64.5,50.8895,34.124,-2.2,6.878787878787879,14.727272727272727,7.333333333333333
2011,1139,Butler,43,46,112.3,63.5,49.8304,37.9361,-0.4,7.451612903225806,15.612903225806452,7.483870967741935
2011,1140,BYU,11,29,117.5,70.2,51.6085,38.106,7.2,8.181818181818182,18.0,13.424242424242424
2011,1153,Cincinnati,55,13,111.1,62.6,49.4069,38.2672,3.4,6.424242424242424,14.242424242424242,9.757575757575758
2011,1155,Clemson,71,11,109.6,63.9,50.2737,38.4784,0.7,6.5,14.3125,7.3125
2011,1163,Connecticut,19,15,115.8,64.5,48.168,33.8411,7.0,5.828571428571428,15.571428571428571,7.0285714285714285
2011,1181,Duke,5,9,119.7,68.6,53.7398,37.4433,9.5,8.0,16.823529411764707,16.794117647058822
2011,1196,Florida,20,38,115.8,62.5,52.0893,35.7829,5.3,6.212121212121212,13.454545454545455,8.484848484848484
2011,1199,Florida St,147,1,104.5,66.7,49.0011,38.1178,1.2,6.193548387096774,14.161290322580646,7.064516129032258
2011,1206,George Mason,29,45,114.1,64.5,53.1989,38.6021,1.1,6.71875,14.8125,11.8125
2011,1207,Georgetown,27,55,114.2,63.4,54.0517,33.3529,4.4,7.032258064516129,13.096774193548388,4.935483870967742
2011,1208,Georgia,86,47,108.2,63.5,49.424,36.588,0.2,4.71875,14.09375,4.53125
2011,1211,Gonzaga,45,44,112.1,66.1,52.5186,41.7285,0.3,5.625,17.5625,10.6875
2011,1214,Hampton,304,81,94.4,66.1,45.8893,41.2752,-5.6,6.419354838709677,15.258064516129032,5.032258064516129
2011,1228,Illinois,34,23,113.3,64.8,52.8796,28.2199,1.6,6.84375,11.75,6.0625
2011,1232,Indiana St,183,63,102.8,65.0,48.7924,38.0103,-4.2,6.75,14.40625,1.0625
2011,1242,Kansas,6,6,118.9,68.4,56.9767,39.3069,10.2,7.264705882352941,15.941176470588236,17.147058823529413
2011,1243,Kansas St,56,25,111.1,66.4,49.6,43.04,2.0,7.064516129032258,15.903225806451612,6.580645161290323
2011,1246,Kentucky,8,16,117.8,65.0,52.3362,36.1429,5.2,7.363636363636363,15.484848484848484,12.575757575757576
2011,1254,LIU Brooklyn,72,190,109.6,73.3,51.8915,49.7262,-1.2,6.90625,19.625,8.71875
2011,1257,Louisville,52,3,111.4,66.8,52.673,29.9284,4.7,8.794117647058824,12.029411764705882,10.735294117647058
2011,1266,Marquette,22,62,115.5,66.2,51.0267,44.2693,0.8,5.264705882352941,17.58823529411765,7.029411764705882
2011,1276,Michigan,39,37,112.8,61.5,52.284,26.7474,1.9,8.125,10.375,2.875
2011,1277,Michigan St,73,30,109.5,65.0,48.6383,36.6013,2.3,6.3125,14.1875,2.15625
2011,1281,Missouri,33,68,113.4,70.7,51.4749,34.2843,1.4,7.09375,16.0,9.0
2011,1287,Morehead St,119,80,105.6,63.4,50.3993,40.3879,-3.6,5.935483870967742,14.741935483870968,6.838709677419355
2011,1294,N Colorado,109,138,106.3,66.6,49.8738,43.4069,-4.6,7.9655172413793105,18.103448275862068,4.379310344827586
2011,1314,North Carolina,49,5,111.8,70.6,49.1372,37.8775,7.4,5.242424242424242,15.606060606060606,8.909090909090908
2011,1323,Notre Dame,3,66,120.9,63.1,53.4662,45.1419,7.8,8.09375,17.71875,10.375
2011,1324,Oakland,7,221,118.6,71.1,55.8269,39.0232,0.3,8.0,17.333333333333332,8.545454545454545
2011,1326,Ohio St,1,12,125.0,63.8,56.3137,37.0568,12.0,7.382352941176471,14.823529411764707,17.264705882352942
2011,1330,Old Dominion,64,41,110.0,60.4,48.4683,37.5821,2.3,4.878787878787879,13.272727272727273,7.545454545454546
2011,1336,Penn St,35,76,113.1,59.4,50.0572,31.1213,1.7,6.303030303030303,11.818181818181818,0.6060606060606061
2011,1338,Pittsburgh,4,24,120.6,61.8,52.8939,43.1404,7.6,5.875,16.0,13.09375
2011,1343,Princeton,97,75,107.2,62.6,51.9231,36.63,-0.3,6.133333333333334,14.5,5.566666666666666
2011,1345,Purdue,18,8,115.9,66.0,50.7154,34.3894,7.2,6.9375,14.34375,11.21875
2011,1350,Richmond,41,54,112.6,62.1,53.0627,32.3207,1.8,7.852941176470588,12.441176470588236,9.176470588235293
2011,1361,San Diego St,28,2,114.1,62.3,50.5448,31.055,8.7,5.78125,13.0625,12.125
2011,1364,UC Santa Barbara,164,112,103.7,64.1,51.5635,37.2638,-6.8,6.9655172413793105,14.620689655172415,2.103448275862069
2011,1385,St John's,53,40,111.2,66.0,49.5488,44.1624,3.2,4.25,17.0625,3.65625
2011,1389,St Peter's,294,18,95.2,64.1,45.5387,38.8889,-5.9,5.818181818181818,13.393939393939394,1.4848484848484849
2011,1393,Syracuse,24,17,114.9,64.6,52.7988,35.9556,6.2,6.363636363636363,13.484848484848484,10.272727272727273
2011,1396,Temple,60,26,110.5,64.2,49.9743,33.7622,2.1,6.09375,13.65625,8.78125
