Season,DayNum,T1_TeamID,T1_Score,T2_TeamID,T2_Score,T1_T2_oc,NumOT,T1_OffRating,T2_OffRating,T1_Tempo,T2_Tempo,T1_fgEff,T2_fgEff,T1_ftRate,T2_ftRate,T1_wab,T2_wab,T1_talent,T2_talent,T1_sos,T2_sos,T1_Threepg,T2_Threepg,T1_FTPG,T2_FTPG,T1_PDiffPG,T2_PDiffPG,T1_OffRank,T2_OffRank,T1_DefRank,T2_DefRank,T2_T1_oc,PointDiff,offRankDiff,defRankDiff,T1_seed,T2_seed,Seed_Diff
2008,136,1401,67,1140,62,N,0,112.3,107.4,61.8,67.8,51.9312,53.2504,41.746,37.4302,3.1,2.5,61.214,34.988,31.167,21.025,5.848484848484849,8.176470588235293,14.787878787878787,14.0,9.181818181818182,10.941176470588236,46.0,112.0,17.0,12.0,,5,-66.0,5.0,9,8,1
2008,136,1417,70,1290,29,N,0,118.0,91.9,64.1,63.0,52.1729,43.368,37.2697,40.2812,10.8,-10.0,78.469,0.2,32.362,12.999,5.303030303030303,4.6,15.636363636363637,14.633333333333333,14.393939393939394,-4.6,7.0,323.0,5.0,236.0,,41,-316.0,-231.0,1,16,-15
2008,136,1450,71,1457,40,N,0,115.1,99.5,58.3,61.6,53.6671,49.5909,38.475,35.6517,4.9,-4.2,24.685,4.133,31.951,15.705,6.375,6.354838709677419,14.1875,11.612903225806452,10.0,6.290322580645161,23.0,232.0,9.0,20.0,,31,-209.0,-11.0,4,13,-9
2008,136,1452,75,1112,65,N,0,114.6,116.4,63.8,63.5,51.3796,53.8619,36.5842,40.433,2.6,1.5,46.742,85.102,29.445,39.295,7.2727272727272725,6.59375,14.636363636363637,15.53125,11.424242424242424,4.78125,27.0,12.0,23.0,63.0,,10,15.0,-40.0,7,10,-3
2008,136,1458,71,1168,56,N,0,113.5,112.3,61.1,71.6,50.6146,54.1625,39.9252,32.347,8.3,-3.2,82.1,11.126,28.584,10.504,5.818181818181818,8.612903225806452,14.545454545454545,14.387096774193548,13.575757575757576,9.580645161290322,37.0,45.0,3.0,176.0,,15,-8.0,-173.0,3,14,-11
2008,136,1462,73,1208,61,N,0,117.3,104.3,63.8,64.7,54.5869,47.8261,42.372,31.8491,4.7,-3.9,13.33,57.893,23.372,28.873,7.757575757575758,5.96875,16.666666666666668,12.78125,13.0,0.90625,8.0,166.0,39.0,45.0,,12,-158.0,-6.0,3,14,-11
2008,137,1116,86,1231,72,N,0,111.4,114.6,66.5,66.2,51.949,52.3429,37.8811,41.8964,0.5,4.8,59.525,52.71,25.901,27.986,5.878787878787879,6.59375,14.303030303030303,17.84375,6.606060606060606,10.4375,53.0,29.0,48.0,44.0,,14,24.0,4.0,9,8,1
2008,137,1139,81,1375,61,N,0,116.2,112.6,59.5,64.8,54.1064,53.8945,36.7264,46.0156,4.7,-0.3,11.348,21.566,16.476,13.287,9.21875,6.67741935483871,13.6875,17.70967741935484,10.59375,9.935483870967742,14.0,42.0,47.0,111.0,,20,-28.0,-64.0,7,10,-3
2008,137,1172,82,1211,76,N,0,117.0,114.5,66.2,65.9,54.0816,54.4565,26.2933,39.6739,1.5,2.1,18.502,73.8,17.709,21.566,8.774193548387096,6.5,11.258064516129032,16.0,14.193548387096774,13.25,9.0,30.0,24.0,41.0,,6,-21.0,-17.0,10,7,3
2008,137,1207,66,1420,47,N,0,115.2,113.2,60.5,63.7,56.8025,51.3956,34.1561,33.4407,7.7,-3.0,71.165,10.4,30.985,11.398,7.84375,7.32258064516129,11.6875,14.387096774193548,11.75,5.354838709677419,21.0,39.0,6.0,282.0,,19,-18.0,-276.0,2,15,-13
2008,137,1257,79,1129,61,N,0,113.1,108.7,65.3,70.7,53.1079,57.1353,36.4992,39.7463,4.7,-2.4,83.94,1.289,30.593,11.798,7.53125,8.125,13.40625,15.40625,10.59375,5.125,40.0,84.0,4.0,191.0,,18,-44.0,-187.0,3,14,-11
2008,137,1272,87,1426,63,N,0,118.0,101.3,68.1,68.6,52.7517,52.3087,40.3995,41.3662,8.9,-7.0,82.995,8.575,20.888,9.423,7.9411764705882355,5.928571428571429,14.205882352941176,15.285714285714286,19.058823529411764,2.5357142857142856,6.0,202.0,2.0,170.0,,24,-196.0,-168.0,1,16,-15
2008,137,1274,78,1388,64,N,0,112.5,109.2,65.8,66.4,49.1872,52.4902,39.119,39.3397,1.6,1.2,42.138,18.126,28.829,17.599,6.774193548387097,7.866666666666666,16.967741935483872,15.033333333333333,5.774193548387097,12.433333333333334,44.0,76.0,61.0,32.0,,14,-32.0,29.0,7,10,-3
2008,137,1280,76,1332,69,N,0,108.2,118.8,66.6,65.8,52.1592,55.7886,38.9698,36.689,0.6,0.8,69.445,72.871,23.951,35.62,6.96875,8.709677419354838,13.9375,14.161290322580646,8.03125,4.387096774193548,92.0,5.0,11.0,160.0,,7,87.0,-149.0,8,9,-1
2008,137,1314,113,1291,74,N,0,122.1,99.3,72.5,66.1,52.9641,49.7845,38.0265,38.6853,11.9,-9.5,90.906,7.293,31.561,9.636,5.529411764705882,6.0,19.470588235294116,14.625,15.970588235294118,2.5625,1.0,233.0,14.0,106.0,,39,-232.0,-92.0,1,16,-15
2008,137,1328,72,1386,64,N,0,109.5,115.1,63.1,64.0,50.0532,54.5833,38.7234,39.7222,2.8,-1.2,63.704,34.745,33.332,23.976,6.333333333333333,7.303030303030303,14.090909090909092,15.424242424242424,5.03030303030303,6.0606060606060606,74.0,25.0,37.0,110.0,,8,49.0,-73.0,6,11,-5
2008,137,1360,70,1163,69,N,1,101.6,115.2,63.0,67.1,49.1953,50.6383,35.5687,48.1383,-3.9,4.3,3.734,85.537,20.325,29.747,4.848484848484849,5.15625,12.818181818181818,19.875,2.0,9.09375,198.0,22.0,59.0,49.0,,1,176.0,10.0,13,4,9
2008,137,1373,83,1435,62,N,0,108.6,112.3,67.6,68.2,50.9237,54.1103,36.5581,38.3459,-3.8,3.8,10.689,63.746,13.952,23.876,7.0,9.06060606060606,14.6875,16.78787878787879,5.75,6.212121212121212,86.0,47.0,107.0,88.0,,21,39.0,19.0,13,4,9
2008,137,1397,72,1110,57,N,0,116.2,107.9,70.7,60.4,52.3712,52.4383,38.0301,41.3553,9.2,-5.8,57.614,10.824,31.749,11.469,9.03125,7.84375,15.3125,14.9375,11.53125,3.3125,15.0,102.0,28.0,218.0,,15,-87.0,-190.0,2,15,-13
2008,137,1400,74,1122,54,N,0,120.6,104.6,63.9,65.5,51.4646,51.7214,31.9513,44.3923,8.4,-5.3,81.767,9.068,34.791,9.97,7.7272727272727275,7.852941176470588,13.424242424242424,17.441176470588236,9.93939393939394,3.911764705882353,3.0,159.0,42.0,195.0,,20,-156.0,-153.0,2,15,-13
2008,137,1437,75,1155,69,N,0,109.2,114.0,68.1,68.0,49.1307,51.9122,38.8972,30.6421,0.3,4.4,61.386,48.799,29.494,32.707,7.0625,8.0,16.09375,12.1875,3.53125,9.6875,75.0,35.0,35.0,15.0,,6,40.0,20.0,12,5,7
2008,137,1443,101,1179,99,N,1,111.9,120.0,68.2,62.9,53.5336,52.6254,35.9919,35.1809,0.2,5.2,16.148,2.519,14.064,21.783,7.225806451612903,9.133333333333333,14.741935483870968,14.4,11.483870967741936,11.233333333333333,48.0,4.0,62.0,76.0,,2,44.0,-14.0,12,5,7
2008,138,1242,75,1424,56,N,0,120.9,110.2,66.8,63.9,56.5912,48.4683,36.3515,33.0218,9.9,2.2,89.633,18.883,30.29,20.716,6.787878787878788,7.5625,15.484848484848484,13.8125,19.515151515151516,7.3125,2.0,67.0,1.0,51.0,,19,-65.0,-50.0,1,8,-7
2008,138,1277,65,1338,54,N,0,115.8,116.5,63.3,63.9,52.5291,50.7645,33.4345,36.1204,5.1,5.3,87.079,65.161,31.132,33.073,4.96969696969697,6.142857142857143,13.666666666666666,13.82857142857143,9.303030303030303,8.942857142857143,17.0,10.0,33.0,54.0,,11,7.0,-21.0,5,4,1
2008,138,1390,82,1266,81,N,1,113.6,115.3,63.4,66.6,49.8257,50.5929,39.5916,37.5494,6.7,3.8,64.912,55.941,33.063,31.819,5.393939393939394,7.15625,15.575757575757576,15.75,10.06060606060606,11.59375,36.0,20.0,10.0,21.0,,1,16.0,-11.0,3,6,-3
2008,138,1417,51,1401,49,N,0,118.0,112.3,64.1,61.8,52.1729,51.9312,37.2697,41.746,10.8,3.1,78.469,61.214,32.362,31.167,5.303030303030303,5.848484848484849,15.636363636363637,14.787878787878787,14.393939393939394,9.181818181818182,7.0,46.0,5.0,17.0,,2,-39.0,-12.0,1,9,-8
2008,138,1450,61,1323,41,N,0,115.1,114.6,58.3,69.5,53.6671,52.1588,38.475,34.0943,4.9,4.4,24.685,80.171,31.951,28.578,6.375,8.451612903225806,14.1875,15.709677419354838,10.0,10.096774193548388,23.0,26.0,9.0,43.0,,20,-3.0,-34.0,4,5,-1
2008,138,1452,73,1181,67,N,0,114.6,116.3,63.8,71.5,51.3796,53.6211,36.5842,40.8633,2.6,8.9,46.742,95.074,29.445,34.065,7.2727272727272725,9.28125,14.636363636363637,17.34375,11.424242424242424,14.8125,27.0,13.0,23.0,7.0,,6,14.0,16.0,7,2,5
2008,138,1458,72,1243,55,N,0,113.5,114.2,61.1,69.7,50.6146,49.5248,39.9252,37.3687,8.3,1.0,82.1,40.016,28.584,31.318,5.818181818181818,6.633333333333334,14.545454545454545,16.333333333333332,13.575757575757576,9.8,37.0,34.0,3.0,40.0,,17,3.0,-37.0,3,11,-8
2008,138,1462,85,1345,78,N,0,117.3,110.5,63.8,66.9,54.5869,48.9211,42.372,37.1053,4.7,3.8,13.33,66.368,23.372,28.915,7.757575757575758,7.375,16.666666666666668,14.65625,13.0,7.53125,8.0,60.0,39.0,16.0,,7,-52.0,23.0,3,6,-3
2008,139,1172,74,1207,70,N,0,117.0,115.2,66.2,60.5,54.0816,56.8025,26.2933,34.1561,1.5,7.7,18.502,71.165,17.709,30.985,8.774193548387096,7.84375,11.258064516129032,11.6875,14.193548387096774,11.75,9.0,21.0,24.0,6.0,,4,-12.0,18.0,10,2,8
2008,139,1257,78,1328,48,N,0,113.1,109.5,65.3,63.1,53.1079,50.0532,36.4992,38.7234,4.7,2.8,83.94,63.704,30.593,33.332,7.53125,6.333333333333333,13.40625,14.090909090909092,10.59375,5.03030303030303,40.0,74.0,4.0,37.0,,30,-34.0,-33.0,3,6,-3
2008,139,1272,77,1280,74,N,0,118.0,108.2,68.1,66.6,52.7517,52.1592,40.3995,38.9698,8.9,0.6,82.995,69.445,20.888,23.951,7.9411764705882355,6.96875,14.205882352941176,13.9375,19.058823529411764,8.03125,6.0,92.0,2.0,11.0,,3,-86.0,-9.0,1,8,-7
2008,139,1314,108,1116,77,N,0,122.1,111.4,72.5,66.5,52.9641,51.949,38.0265,37.8811,11.9,0.5,90.906,59.525,31.561,25.901,5.529411764705882,5.878787878787879,19.470588235294116,14.303030303030303,15.970588235294118,6.606060606060606,1.0,53.0,14.0,48.0,,31,-52.0,-34.0,1,9,-8
2008,139,1397,76,1139,71,N,1,116.2,116.2,70.7,59.5,52.3712,54.1064,38.0301,36.7264,9.2,4.7,57.614,11.348,31.749,16.476,9.03125,9.21875,15.3125,13.6875,11.53125,10.59375,15.0,14.0,28.0,47.0,,5,1.0,-19.0,2,7,-5
2008,139,1400,75,1274,72,N,0,120.6,112.5,63.9,65.8,51.4646,49.1872,31.9513,39.119,8.4,1.6,81.767,42.138,34.791,28.829,7.7272727272727275,6.774193548387097,13.424242424242424,16.967741935483872,9.93939393939394,5.774193548387097,3.0,44.0,42.0,61.0,,3,-41.0,-19.0,2,7,-5
2008,139,1437,84,1373,72,N,0,109.2,108.6,68.1,67.6,49.1307,50.9237,38.8972,36.5581,0.3,-3.8,61.386,10.689,29.494,13.952,7.0625,7.0,16.09375,14.6875,3.53125,5.75,75.0,86.0,35.0,107.0,,12,-11.0,-72.0,12,13,-1
2008,139,1443,72,1360,63,N,0,111.9,101.6,68.2,63.0,53.5336,49.1953,35.9919,35.5687,0.2,-3.9,16.148,3.734,14.064,20.325,7.225806451612903,4.848484848484849,14.741935483870968,12.818181818181818,11.483870967741936,2.0,48.0,198.0,62.0,59.0,,9,-150.0,3.0,12,13,-1
2008,143,1257,79,1397,60,N,0,113.1,116.2,65.3,70.7,53.1079,52.3712,36.4992,38.0301,4.7,9.2,83.94,57.614,30.593,31.749,7.53125,9.03125,13.40625,15.3125,10.59375,11.53125,40.0,15.0,4.0,28.0,,19,25.0,-24.0,3,2,1
2008,143,1314,68,1450,47,N,0,122.1,115.1,72.5,58.3,52.9641,53.6671,38.0265,38.475,11.9,4.9,90.906,24.685,31.561,31.951,5.529411764705882,6.375,19.470588235294116,14.1875,15.970588235294118,10.0,1.0,23.0,14.0,9.0,,21,-22.0,5.0,1,4,-3
2008,143,1417,88,1443,78,N,0,118.0,111.9,64.1,68.2,52.1729,53.5336,37.2697,35.9919,10.8,0.2,78.469,16.148,32.362,14.064,5.303030303030303,7.225806451612903,15.636363636363637,14.741935483870968,14.393939393939394,11.483870967741936,7.0,48.0,5.0,62.0,,10,-41.0,-57.0,1,12,-11
2008,143,1462,79,1452,75,N,1,117.3,114.6,63.8,63.8,54.5869,51.3796,42.372,36.5842,4.7,2.6,13.33,46.742,23.372,29.445,7.757575757575758,7.2727272727272725,16.666666666666668,14.636363636363637,13.0,11.424242424242424,8.0,27.0,39.0,23.0,,4,-19.0,16.0,3,7,-4
2008,144,1172,73,1458,56,N,0,117.0,113.5,66.2,61.1,54.0816,50.6146,26.2933,39.9252,1.5,8.3,18.502,82.1,17.709,28.584,8.774193548387096,5.818181818181818,11.258064516129032,14.545454545454545,14.193548387096774,13.575757575757576,9.0,37.0,24.0,3.0,,17,-28.0,21.0,10,3,7
2008,144,1242,72,1437,57,N,0,120.9,109.2,66.8,68.1,56.5912,49.1307,36.3515,38.8972,9.9,0.3,89.633,61.386,30.29,29.494,6.787878787878788,7.0625,15.484848484848484,16.09375,19.515151515151516,3.53125,2.0,75.0,1.0,35.0,,15,-73.0,-34.0,1,12,-11
2008,144,1272,92,1277,74,N,0,118.0,115.8,68.1,63.3,52.7517,52.5291,40.3995,33.4345,8.9,5.1,82.995,87.079,20.888,31.132,7.9411764705882355,4.96969696969697,14.205882352941176,13.666666666666666,19.058823529411764,9.303030303030303,6.0,17.0,2.0,33.0,,18,-11.0,-31.0,1,5,-4
2008,144,1400,82,1390,62,N,0,120.6,113.6,63.9,63.4,51.4646,49.8257,31.9513,39.5916,8.4,6.7,81.767,64.912,34.791,33.063,7.7272727272727275,5.393939393939394,13.424242424242424,15.575757575757576,9.93939393939394,10.06060606060606,3.0,36.0,42.0,10.0,,20,-33.0,32.0,2,3,-1
2008,145,1314,83,1257,73,N,0,122.1,113.1,72.5,65.3,52.9641,53.1079,38.0265,36.4992,11.9,4.7,90.906,83.94,31.561,30.593,5.529411764705882,7.53125,19.470588235294116,13.40625,15.970588235294118,10.59375,1.0,40.0,14.0,4.0,,10,-39.0,10.0,1,3,-2
2008,145,1417,76,1462,57,N,0,118.0,117.3,64.1,63.8,52.1729,54.5869,37.2697,42.372,10.8,4.7,78.469,13.33,32.362,23.372,5.303030303030303,7.757575757575758,15.636363636363637,16.666666666666668,14.393939393939394,13.0,7.0,8.0,5.0,39.0,,19,-1.0,-34.0,1,3,-2
2008,146,1242,59,1172,57,N,0,120.9,117.0,66.8,66.2,56.5912,54.0816,36.3515,26.2933,9.9,1.5,89.633,18.502,30.29,17.709,6.787878787878788,8.774193548387096,15.484848484848484,11.258064516129032,19.515151515151516,14.193548387096774,2.0,9.0,1.0,24.0,,2,-7.0,-23.0,1,10,-9
2008,146,1272,85,1400,67,N,0,118.0,120.6,68.1,63.9,52.7517,51.4646,40.3995,31.9513,8.9,8.4,82.995,81.767,20.888,34.791,7.9411764705882355,7.7272727272727275,14.205882352941176,13.424242424242424,19.058823529411764,9.93939393939394,6.0,3.0,2.0,42.0,,18,3.0,-40.0,1,2,-1
2008,152,1242,84,1314,66,N,0,120.9,122.1,66.8,72.5,56.5912,52.9641,36.3515,38.0265,9.9,11.9,89.633,90.906,30.29,31.561,6.787878787878788,5.529411764705882,15.484848484848484,19.470588235294116,19.515151515151516,15.970588235294118,2.0,1.0,1.0,14.0,,18,1.0,-13.0,1,1,0
2008,152,1272,78,1417,63,N,0,118.0,118.0,68.1,64.1,52.7517,52.1729,40.3995,37.2697,8.9,10.8,82.995,78.469,20.888,32.362,7.9411764705882355,5.303030303030303,14.205882352941176,15.636363636363637,19.058823529411764,14.393939393939394,6.0,7.0,2.0,5.0,,15,-1.0,-3.0,1,1,0
2008,154,1242,75,1272,68,N,1,120.9,118.0,66.8,68.1,56.5912,52.7517,36.3515,40.3995,9.9,8.9,89.633,82.995,30.29,20.888,6.787878787878788,7.9411764705882355,15.484848484848484,14.205882352941176,19.515151515151516,19.058823529411764,2.0,6.0,1.0,2.0,,7,-4.0,-1.0,1,1,0
2009,134,1287,58,1106,43,N,0,102.0,100.7,65.3,63.6,47.8061,51.0916,42.3077,35.9006,-9.3,-5.1,2.346,0.201,13.25,10.21,5.09375,5.689655172413793,16.8125,12.689655172413794,0.65625,5.896551724137931,189.0,214.0,137.0,184.0,,15,-25.0,-47.0,16,16,0
2009,136,1163,103,1151,47,N,0,116.0,104.3,67.1,69.5,51.3083,50.4285,46.432,46.2775,8.7,-9.4,82.019,7.512,32.844,16.373,4.741935483870968,8.125,17.806451612903224,17.375,13.35483870967742,-1.46875,17.0,142.0,3.0,283.0,,56,-125.0,-280.0,1,16,-15
2009,136,1181,86,1127,62,N,0,117.5,102.3,66.3,67.2,50.4799,49.3552,41.3163,40.7972,7.8,-4.5,93.797,1.026,31.839,8.089,7.235294117647059,6.033333333333333,17.61764705882353,15.8,12.411764705882353,2.966666666666667,7.0,181.0,28.0,178.0,,24,-174.0,-150.0,2,15,-13
2009,136,1211,77,1103,64,N,0,117.5,102.9,67.1,64.8,55.1643,48.1073,35.4721,36.225,4.4,-5.4,79.37,1.37,24.529,14.565,7.4,7.117647058823529,14.333333333333334,14.117647058823529,17.233333333333334,5.911764705882353,8.0,163.0,24.0,51.0,,13,-155.0,-27.0,4,13,-9
2009,136,1261,75,1139,71,N,0,111.5,110.3,66.1,62.8,49.8567,51.6505,35.3559,43.4952,2.4,2.4,44.729,30.264,21.393,18.098,6.0,7.933333333333334,15.515151515151516,15.533333333333333,9.424242424242424,8.8,47.0,62.0,60.0,38.0,,4,-15.0,22.0,8,9,-1
2009,136,1268,84,1143,71,N,0,110.0,116.8,66.3,66.0,47.017,53.9502,28.0404,34.2533,0.1,3.2,71.963,60.144,31.613,32.972,5.757575757575758,6.34375,13.212121212121213,14.5,3.0,6.6875,67.0,11.0,56.0,96.0,,13,56.0,-40.0,10,7,3
2009,136,1272,81,1169,70,N,0,112.8,102.2,65.9,71.8,50.0919,51.6101,39.8897,34.3876,6.9,-6.7,77.707,6.747,22.225,16.261,5.823529411764706,7.0344827586206895,16.235294117647058,13.758620689655173,17.176470588235293,3.586206896551724,37.0,182.0,1.0,64.0,,11,-145.0,-63.0,2,15,-13
2009,136,1276,62,1155,59,N,0,112.2,116.4,62.5,67.9,50.2695,52.7651,28.4097,31.5068,0.9,2.7,59.63,56.969,34.356,26.706,8.65625,8.096774193548388,11.8125,13.387096774193548,3.53125,10.741935483870968,40.0,16.0,67.0,61.0,,3,24.0,6.0,10,7,3
2009,136,1314,101,1347,58,N,0,123.2,101.2,72.9,69.2,52.8395,49.7692,39.7531,42.7582,7.7,-6.6,92.496,0.657,28.827,11.592,6.806451612903226,4.758620689655173,19.870967741935484,17.0,16.516129032258064,2.2413793103448274,1.0,208.0,18.0,153.0,,43,-207.0,-135.0,1,16,-15
2009,136,1328,82,1288,54,N,0,118.3,100.1,66.6,65.5,55.1776,46.416,46.4732,33.1651,7.4,-5.8,73.817,0.2,29.932,12.038,6.90625,5.121212121212121,17.78125,12.727272727272727,11.375,5.363636363636363,4.0,222.0,33.0,91.0,,28,-218.0,-58.0,2,15,-13
2009,136,1345,61,1320,56,N,0,110.5,110.6,65.9,60.8,50.0,51.5786,33.1724,41.8943,3.9,-1.7,71.088,10.427,29.523,18.798,6.705882352941177,6.363636363636363,13.0,16.12121212121212,10.235294117647058,4.151515151515151,60.0,59.0,5.0,131.0,,5,1.0,-126.0,5,12,-7
2009,136,1400,76,1278,62,N,0,112.2,108.1,65.4,64.5,48.4731,49.5601,38.6331,34.5454,2.6,1.8,72.157,46.808,32.491,29.811,4.606060606060606,5.741935483870968,15.303030303030303,13.193548387096774,6.878787878787879,4.709677419354839,42.0,90.0,20.0,21.0,,14,-48.0,-1.0,7,10,-3
2009,136,1401,79,1140,66,N,0,113.1,114.0,63.9,69.0,50.3935,54.8431,46.543,35.2229,1.9,2.3,64.074,31.099,27.139,22.349,6.03125,7.290322580645161,17.8125,14.612903225806452,5.375,12.451612903225806,35.0,28.0,74.0,35.0,,13,7.0,39.0,9,8,1
2009,136,1417,65,1433,64,N,0,119.5,110.1,65.3,65.8,54.8403,52.0234,31.2215,36.688,4.5,-2.3,79.037,31.467,29.438,14.657,7.484848484848484,6.545454545454546,12.393939393939394,14.181818181818182,12.727272727272727,8.636363636363637,3.0,64.0,44.0,57.0,,1,-61.0,-13.0,6,11,-5
2009,136,1437,80,1110,67,N,0,114.4,105.3,68.3,60.7,50.7521,53.6888,41.887,31.8661,6.0,-2.3,64.785,8.688,31.499,11.588,6.606060606060606,7.096774193548387,18.0,10.64516129032258,9.545454545454545,6.032258064516129,24.0,123.0,10.0,125.0,,13,-99.0,-115.0,3,14,-11
2009,136,1443,76,1228,72,N,0,111.1,106.8,65.6,62.8,52.3848,51.0992,33.8157,22.4665,-2.1,3.8,8.322,52.338,13.931,30.507,7.806451612903226,5.545454545454546,13.516129032258064,8.878787878787879,5.161290322580645,8.0,52.0,104.0,173.0,4.0,,4,-52.0,169.0,12,5,7
2009,136,1449,71,1280,58,N,0,113.1,107.8,72.2,67.2,48.8406,49.975,44.2995,41.0911,5.0,-1.7,81.01,54.918,31.603,22.65,4.242424242424242,8.235294117647058,18.818181818181817,16.61764705882353,9.333333333333334,5.0,34.0,92.0,14.0,54.0,,13,-58.0,-40.0,4,13,-9
2009,137,1112,84,1428,71,N,0,117.7,110.8,64.9,65.0,53.0407,54.6324,37.4934,39.1512,0.8,2.7,80.614,29.961,33.867,25.174,6.1875,7.1875,14.6875,15.78125,3.75,7.5,6.0,56.0,147.0,23.0,,13,-50.0,124.0,12,5,7
2009,137,1113,66,1396,57,N,0,118.2,109.9,59.1,63.5,56.4028,51.1006,38.7078,28.6688,4.8,-0.5,46.257,26.439,32.67,24.383,8.090909090909092,7.636363636363637,13.878787878787879,11.212121212121213,9.484848484848484,5.575757575757576,5.0,68.0,42.0,43.0,,9,-63.0,-1.0,6,11,-5
2009,137,1156,84,1448,69,N,0,105.3,111.6,63.7,72.8,46.9272,52.4067,36.7116,43.483,-1.4,5.1,14.271,81.319,20.688,28.789,4.75,4.033333333333333,14.15625,18.666666666666668,5.125,11.066666666666666,124.0,46.0,29.0,22.0,,15,78.0,7.0,13,4,9
2009,137,1173,68,1452,60,N,0,103.3,115.1,64.5,63.7,46.9574,48.4753,38.1339,35.9148,1.1,3.9,49.618,71.035,18.192,35.237,5.515151515151516,6.647058823529412,14.121212121212121,14.676470588235293,6.0,10.764705882352942,156.0,19.0,25.0,13.0,,8,137.0,12.0,11,6,5
2009,137,1242,84,1295,74,N,0,114.5,114.3,67.2,67.5,53.3855,54.2293,39.5149,37.34,5.4,-0.8,78.001,0.2,30.532,12.589,6.46875,7.033333333333333,16.53125,16.233333333333334,11.3125,10.133333333333333,23.0,25.0,11.0,152.0,,10,-2.0,-141.0,3,14,-11
2009,137,1257,74,1287,54,N,0,111.2,102.0,66.9,65.3,52.6953,47.8061,31.3842,42.3077,8.0,-9.3,81.722,2.346,31.05,13.25,8.06060606060606,5.09375,12.303030303030303,16.8125,12.333333333333334,0.65625,49.0,189.0,2.0,137.0,,20,-140.0,-135.0,1,16,-15
